,Date,Temp,StartTime,EndTime,Duration,FileName,File,Total,Frame#,Dir,R(m),Theta,Length,dR(cm),L/dR,Aspect,Time,Date,Pan,Tilt,Roll,Species,Motion,Motion2,Q,N
49,7/22/2025,13,5:00:00,5:19:59,20,D:/Chena Towerside 2025/ARIS_2025_07_22/FCe_chena Tower side 2025_2025-07-22_050000_ID_.txt,1,1,205,Up,6.64,1.1,45.7,0,0,0,5:01:24,7/22/2025,88.17,-8.68,0,Unknown,Running,<-->,5,1
50,7/22/2025,13,5:00:00,5:19:59,20,D:/Chena Towerside 2025/ARIS_2025_07_22/FCe_chena Tower side 2025_2025-07-22_050000_ID_.txt,1,2,1843,Up,6.81,1.2,45.1,0,0,0,5:12:40,7/22/2025,88.17,-8.68,0,Unknown,Running,<-->,5,1
51,7/22/2025,13,6:00:00,6:19:59,20,D:/Chena Towerside 2025/ARIS_2025_07_22/FCe_chena Tower side 2025_2025-07-22_060000_ID_.txt,1,1,883,Up,6,8.4,54.4,0,0,0,6:06:15,7/22/2025,88.17,-8.68,0,Unknown,Running,<-->,5,1
52,7/22/2025,13,6:00:00,6:19:59,20,D:/Chena Towerside 2025/ARIS_2025_07_22/FCe_chena Tower side 2025_2025-07-22_060000_ID_.txt,1,2,2317,Up,6.99,5.1,51.3,0,0,0,6:16:11,7/22/2025,88.17,-8.68,0,Unknown,Running,<-->,5,1
53,7/22/2025,13,6:00:00,6:19:59,20,D:/Chena Towerside 2025/ARIS_2025_07_22/FCe_chena Tower side 2025_2025-07-22_060000_ID_.txt,1,3,2331,Up,8.63,-2,60.6,0,0,0,6:16:16,7/22/2025,88.17,-8.68,0,Unknown,Running,<-->,5,1
54,7/22/2025,13,7:00:00,7:19:59,20,D:/Chena Towerside 2025/ARIS_2025_07_22/FCe_chena Tower side 2025_2025-07-22_070000_ID_.txt,1,1,2301,Up,5.6,4.5,46.2,0,0,0,7:16:03,7/22/2025,88.17,-8.68,0,Unknown,Running,<-->,5,1
55,7/22/2025,13,8:00:00,8:19:59,20,D:/Chena Towerside 2025/ARIS_2025_07_22/FCe_chena Tower side 2025_2025-07-22_080000_ID_.txt,1,1,1625,Up,6.57,5.5,54.2,0,0,0,8:11:26,7/22/2025,88.17,-8.68,0,Unknown,Running,<-->,5,1
56,7/22/2025,13,8:00:00,8:19:59,20,D:/Chena Towerside 2025/ARIS_2025_07_22/FCe_chena Tower side 2025_2025-07-22_080000_ID_.txt,1,2,2103,Up,6.5,1.3,70.1,0,0,0,8:14:37,7/22/2025,88.17,-8.68,0,Unknown,Running,<-->,5,1
57,7/22/2025,13,9:00:00,9:19:59,20,D:/Chena Towerside 2025/ARIS_2025_07_22/FCe_chena Tower side 2025_2025-07-22_090000_ID_.txt,1,1,792,Up,6.25,-0.7,57.3,0,0,0,9:05:14,7/22/2025,88.17,-8.68,0,Unknown,Running,<-->,5,1
58,7/22/2025,13,9:00:00,9:19:59,20,D:/Chena Towerside 2025/ARIS_2025_07_22/FCe_chena Tower side 2025_2025-07-22_090000_ID_.txt,1,2,798,Up,6.65,2.6,51.6,0,0,0,9:05:16,7/22/2025,88.17,-8.68,0,Unknown,Running,<-->,5,1
59,7/22/2025,13,9:00:00,9:19:59,20,D:/Chena Towerside 2025/ARIS_2025_07_22/FCe_chena Tower side 2025_2025-07-22_090000_ID_.txt,1,3,1639,Up,7.28,-1.8,64.7,0,0,0,9:11:20,7/22/2025,88.17,-8.68,0,Unknown,Running,<-->,5,1
