Day,Shift,Period 1,2,3,4,5,6,7,8,Sydij,Sydi,mdi,md,Mdi,Md,hdi,hd,Hd,Ydi=Mdi/mdi*Sydij,Yd(avg)=SYdi/hd,N^d=Yd(avg)*Hd,,,,(ydij - ydij-1)2,,,,S(RDS)2,s22di,(Ydi - Yd (avg))2,s21d,f1d,(1-f1d)Hd2s1d2/hd,f2di,Mdi2(1-f2di)s2di2/mdi,var(Nd),se,cv
24-Jul,2,0,0,0,0,1,0,0,0,1,,8,,24,,1,,,3,,,0,0,0,1,1,0,0,2,0.142857143,256,,,,0.333333333,6.857142857,,,
24-Jul,3,0,3,4,0,1,1,1,0,10,18,8,23,24,72,1,3,3,30,19.00,57,9,1,16,1,0,0,1,28,2,121,201,1,0,0.333333333,96,185.4285714,13.61721599,23.89%
25-Jul,1,1,2,0,1,1,0,0,1,6,,8,,24,,1,,,18,,,1,4,1,0,1,0,1,8,0.571428571,130.6122449,,,,0.333333333,27.42857143,,,
25-Jul,2,1,0,1,2,0,0,7,1,12,,8,,24,,1,,,36,,,1,1,1,4,0,49,36,92,6.571428571,43.18367347,,,,0.333333333,315.4285714,,,
25-Jul,3,0,1,3,3,,0,0,3,10,28,7,23,24,72,1,3,3,34,29.43,88,1,4,0,0,0,0,9,14,1.166666667,23.59183673,98.69387755,1,0,0.291666667,68,410.8571429,20.26961131,22.96%
26-Jul,1,2,0,0,3,3,1,0,2,11,,8,,24,,1,,,33,,,4,0,9,0,4,1,4,22,1.571428571,242.4693878,,,,0.333333333,75.42857143,,,
26-Jul,2,0,2,0,0,0,0,1,0,3,,8,,24,,1,,,9,,,4,4,0,0,0,1,1,10,0.714285714,71.04081633,,,,0.333333333,34.28571429,,,
26-Jul,3,,0,0,0,1,2,0,0,3,17,7,23,24,72,1,3,3,10,17.43,52,0,0,0,1,1,4,0,6,0.5,51.02040816,182.2653061,1,0,0.291666667,29.14285714,138.8571429,11.78376607,22.54%
27-Jul,1,0,2,3,0,0,4,2,3,14,,8,,24,,1,,,42,,,4,1,9,0,16,4,1,35,2.5,73.46938776,,,,0.333333333,120,,,
27-Jul,2,1,,1,0,0,0,4,0,6,,7,,24,,1,,,21,,,0,0,1,0,0,16,16,33,2.75,900,,,,0.291666667,160.2857143,,,
27-Jul,3,1,2,1,17,,0,3,2,26,46,7,22,24,72,1,3,3,89,50.57,152,1,1,256,0,0,9,1,268,22.33333333,1487.755102,1230.612245,1,0,0.291666667,1301.714286,1582,39.7743636,26.22%
28-Jul,1,2,3,0,1,2,0,1,2,11,,8,,24,,1,,,33,,,1,9,1,1,4,1,1,18,1.285714286,0,,,,0.333333333,61.71428571,,,
28-Jul,2,,,,,,,,,0,,0,,24,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,,,,0,0,,,
28-Jul,3,0,0,2,0,2,1,4,2,11,22,8,16,24,72,1,2,3,33,33.00,99,0,4,4,4,1,9,4,26,1.857142857,0,0,0.666666667,0,0.333333333,89.14285714,226.2857143,15.04279609,15.19%
29-Jul,1,0,,,,,3,4,2,9,,4,,24,,1,,,54,,,0,0,0,0,0,1,4,5,0.833333333,225,,,,0.166666667,100,,,
29-Jul,2,,,,,,,,,0,,0,,24,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,,,,0,0,,,
29-Jul,3,0,2,0,0,3,0,2,1,8,17,8,12,24,72,1,2,3,24,39.00,117,4,4,0,9,9,4,1,31,2.214285714,225,450,0.666666667,675,0.333333333,106.2857143,984.4285714,31.37560472,26.82%
30-Jul,1,4,5,4,2,3,2,0,0,20,,8,,24,,1,,,60,,,1,1,4,1,1,4,0,12,0.857142857,13.93777778,,,,0.333333333,41.14285714,,,
30-Jul,2,9,0,,5,,,1,4,19,,5,,24,,1,,,91,,,81,0,0,0,0,0,9,90,11.25,754.4177778,,,,0.208333333,1026,,,
30-Jul,3,2,0,2,3,2,1,,,10,49,6,19,24,72,1,3,3,40,63.73,191,4,4,1,1,1,0,0,11,1.1,563.2711111,665.8133333,1,0,0.25,79.2,1146.342857,33.85768535,17.71%
31-Jul,1,,,,,,,,,0,,0,,24,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,,,,0,0,,,
31-Jul,2,,,,,,,,,0,,0,,24,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,,,,0,0,,,
31-Jul,3,,,,,,,,,0,0,0,0,24,72,0,0,3,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A,N/A
1-Aug,1,,,,,,,,,0,,0,,24,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,,,,0,0,,,
1-Aug,2,,,,,,,,,0,,0,,24,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,,,,0,0,,,
1-Aug,3,,,,,,,,,0,0,0,0,24,72,0,0,3,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A,N/A
2-Aug,1,,,,,,,,,0,,0,,24,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,,,,0,0,,,
2-Aug,2,,,8,13,6,4,5,2,38,,6,,24,,1,,,152,,,0,0,25,49,4,1,9,88,8.8,1600,,,,0.25,633.6,,,
2-Aug,3,2,3,2,4,,3,4,3,21,59,7,13,24,72,1,2,3,72,112.00,336,1,1,4,0,0,1,1,8,0.666666667,1600,3200,0.666666667,4800,0.291666667,38.85714286,5808.685714,76.21473423,22.68%
3-Aug,1,,,,,,,,,0,,0,,24,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,,,,0,0,,,
3-Aug,2,3,4,0,3,2,1,0,3,16,,8,,24,,1,,,48,,,1,16,9,1,1,1,9,38,2.714285714,0,,,,0.333333333,130.2857143,,,
