SALCHA CHUM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1993,,1994,,1995,,1996,,1997,,1998,,1999,,2000,,2001,,2002,,2003,,2004,,2005,,2006,,2007,,2008,,2009,,2010,,2011,,2012,,2013,,2014,,2015,,2016,,2017,,2018,,2019,,2020,,2021,,2022,,2023,,2024,
,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand,Expand
Date,Daily,Cum,Daily,Cum,Daily,Cum,Daily,Cum,Daily,Cum,Daily,Cum,Daily,Cum,Daily,Cum,Daily,Cum,Daily,Cum,Daily,Cum,Daily,Cum,Daily,Cum,Daily,Cum,Daily,Cum,Daily,Cum,Daily,Cum,Daily,Cum,Daily,Cum,Daily,Cum,Daily,Cum,Daily,Cum,Daily,Cum,Daily,Cum,Daily,Cum,Daily,Cum,Daily,Cum,Daily,Cum,Daily,Cum,Daily,Cum,Daily,Cum,Daily,Cum
31-Aug,,,,,,,,,,,,,,,,,,,,,,,141,v,,,,,,,102,v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-Sep,,,,,,,,,,,,,,,,,,,,,,,186,v,,,,,,,120,v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2-Sep,,,,,,,,,,,,,,,,,,,,,,,135,v,,,,,,,81,v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3-Sep,,,,,,,,,,,,,,,,,,,,,,,117,v,,,,,,,141,v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4-Sep,,,,,,,,,,,,,,,,,,,,,,,95,v,,,,,,,168,v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5-Sep,,,,,,,,,,,,,,,,,,,,,,,81,v,,,,,,,264,v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6-Sep,,,,,,,,,,,,,,,,,,,,,,,81,v,,,,,,,177,v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7-Sep,,,,,,,,,,,,,,,,,,,,,,,144,v,,,,,,,102,v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8-Sep,,,,,,,,,,,,,,,,,,,,,,,177,v,,,,,,,66,v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9-Sep,,,,,,,,,,,,,,,,,,,,,,,114,v,,,,,,,45,v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10-Sep,,,,,,,,,,,,,,,,,,,,,,,141,v,,,,,,,82,v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11-Sep,,,,,,,,,,,,,,,,,,,,,,,144,v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12-Sep,,,,,,,,,,,,,,,,,,,,,,,102,v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13-Sep,,,,,,,,,,,,,,,,,,,,,,,81,v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14-Sep,,,,,,,,,,,,,,,,,,,,,,,101,v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
