"","2024-06-23","2024-06-24","2024-06-25","2024-06-26","2024-06-27","2024-06-28","2024-06-29","2024-06-30","2024-07-01","2024-07-02","2024-07-03","2024-07-04","2024-07-05","2024-07-06","2024-07-07","2024-07-08","2024-07-09","2024-07-10","2024-07-11","2024-07-12","2024-07-13","2024-07-14","2024-07-15","2024-07-16","2024-07-17","2024-07-18","2024-07-19","2024-07-20","2024-07-21","2024-07-22","2024-07-23","2024-07-24","2024-07-25","2024-07-26","2024-07-27","2024-07-28","2024-07-29","2024-07-30","2024-07-31","2024-08-01","2024-08-02","2024-08-03","2024-08-04","2024-08-05","2024-08-06","2024-08-07","2024-08-08","2024-08-09","2024-08-10","2024-08-11","2024-08-12","2024-08-13","2024-08-14","2024-08-15","2024-08-16","2024-08-17","2024-08-18","2024-08-19","2024-08-20","2024-08-21"
"2024-08-03",4.45888826786219,8.73371408715678,-4.40716370538466,20.4215887580158,8.88360351837818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15498.3133120754,18183.8182146927,23526.5304791509,33091.139246373,28595.3891927998,139459.078422179,39324.6383914162,40489.3539049699,40905.2899995125,46664.5377716448,59322.7202779874,53366.2907988705,54106.0150775407,55626.7731085708,65532.2675796466,54130.3246662454,46645.074861423,43492.0374161614,36804.3845738213,45671.1458721891,40335.5906311255,38357.6385070744,48432.2052796241,61225.4807394365
"2024-08-04",-2.85216620666688,-2.44439450999264,3.46317987248662,-3.58880949136128,14.9909697359912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19697.243050242,24200.5875370349,22484.4850937439,49956.7381965939,36943.615569321,39324.6383914162,239453.817814273,51580.8736163748,57348.2646385133,72727.4040894986,78443.393563665,69975.4760436092,46614.1132806636,67395.9938091604,69094.434478437,39483.827627944,49077.999746463,68393.0593622984,53459.321132496,44292.1734856633,42824.8673039466,35802.1144704708,53799.622946857,36561.9076575352
"2024-08-05",0.0314572255126021,-9.53111956332888,2.9383980250227,11.0654868217719,23.6116970543598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20361.3284448277,15195.4421131102,45037.8464311044,36361.676064042,30497.8386044247,40489.3539049699,51580.8736163748,169866.230839643,50019.6640796258,56204.1423161854,66312.7533953305,73428.3581401117,53756.4031629145,84671.0159058667,78789.7630117205,48634.9390941832,66625.6941318924,51467.9981640387,43361.4701913194,38913.5464929629,58295.8037565629,41087.2823721413,43843.5211558866,46817.1269929052
"2024-08-06",-6.92504098098016,-14.6026627119313,32.7754610052413,9.52030732791755,1.28383272239412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18073.9715691222,18165.9229593533,27481.5443432815,34219.6081048406,36225.2071522445,40905.2899995125,57348.2646385133,50019.6640796258,175198.045982041,53129.8283307588,60330.1796939026,60768.5520799927,53473.0134907722,58188.5494616293,57266.3025497115,39954.0804408599,47024.7921775677,54672.1401206022,39305.5118598361,45850.5676337493,51954.2512852902,38625.5414518396,48947.7707099923,32987.5042314198
"2024-08-07",-11.385967657684,-6.60615720159277,21.4929857173999,23.9414886221951,28.3834037670778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19852.8494318684,23111.6151323812,42351.1080127276,56648.2671751338,45226.7938805901,46664.5377716448,72727.4040894986,56204.1423161854,53129.8283307588,242603.464099731,64444.8559042283,75222.9654600465,54527.1880578292,77063.0042979851,90449.6863526287,63823.1164831076,57605.6236899031,52231.8445136334,44967.5046034304,63124.1945043162,47725.3079079661,59677.5421863656,52771.9507135735,40836.2638733022
"2024-08-08",-0.161120183214132,-26.1502102195835,-9.71357085987192,6.77110406966537,23.4638049020406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28069.7486728625,34828.8704960109,28561.5168423636,52171.7476621671,40121.0545865287,59322.7202779874,78443.393563665,66312.7533953305,60330.1796939026,64444.8559042283,432597.013495251,89729.5479072947,85795.0257454948,91732.4856700759,99901.6003573812,62588.9909312075,95178.6036830163,119911.896074466,56472.9340549346,64228.3324998487,85476.4775189379,56117.303832846,108039.106546714,52915.4481300444
"2024-08-09",12.8287798384031,-5.98128996059655,4.83032027177811,11.0731817030767,16.8193515038458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22299.5959814775,24074.9956216459,45726.5135883522,46984.0206172559,30821.8227508434,53366.2907988705,69975.4760436092,73428.3581401117,60768.5520799927,75222.9654600465,89729.5479072947,344759.344850721,65617.4839530829,110454.78109641,102758.504543137,65027.2500148938,95062.6095156597,100847.037035293,82813.1305838792,67883.3870198114,78121.5203556749,70353.3148448227,81241.0994268351,72008.531869175
"2024-08-10",18.1703106141047,2.02608170056622,18.2543589631902,0.873172393189183,16.8240670633683,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20584.048285194,17299.9652129715,27652.3814572508,30853.7078082897,36844.6356926398,54106.0150775407,46614.1132806636,53756.4031629145,53473.0134907722,54527.1880578292,85795.0257454948,65617.4839530829,208171.553559496,70496.8818006943,70976.5042530415,52451.8591817805,66371.3982138592,68308.4149151056,49568.3144425054,58832.6309577,58734.9963984115,42454.3808475858,76062.9511260357,52193.0946346192
"2024-08-11",-7.577431016752,5.65863069993638,0.304353734880957,6.58370434141397,15.6810132971524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32405.3302147065,19232.9901991008,40275.0461439685,53051.6384280564,45575.6000012712,55626.7731085708,67395.9938091604,84671.0159058667,58188.5494616293,77063.0042979851,91732.4856700759,110454.78109641,70496.8818006943,268711.761003029,96251.5518686065,71606.3700441166,102843.181336292,76237.6630829135,65473.5370933288,65477.326892645,89883.9861460763,71947.5803447145,83753.5484674667,92676.6141293502
"2024-08-12",10.139783394619,-26.4098204642314,30.2844708874388,39.427633067028,-27.626790544771,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19883.2449552081,24287.2893014549,75228.8990863631,39618.7874170834,38273.7419918938,65532.2675796466,69094.434478437,78789.7630117205,57266.3025497115,90449.6863526287,99901.6003573812,102758.504543137,70976.5042530415,96251.5518686065,285027.637270895,73501.5928279468,79132.8736042856,101243.213071402,60556.430848669,78378.1955228758,95759.7185745743,68859.685762736,85917.9869695361,69885.1387003603
"2024-08-13",7.11301227548961,-17.4954449877942,-5.35841111019859,7.65092021456395,-3.53017759954208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14362.262407779,15467.3368348008,25642.2189363514,41632.751287935,31714.266104731,54130.3246662454,39483.827627944,48634.9390941832,39954.0804408599,63823.1164831076,62588.9909312075,65027.2500148938,52451.8591817805,71606.3700441166,73501.5928279468,164935.980705908,55273.7612042557,46191.7435165259,54044.6805989539,55890.5727087308,55342.9279804518,43480.1850020322,59946.4602616015,60125.7417524784
"2024-08-14",-8.25954774595556,-27.5847327392538,1.63280496722086,-10.4835971011307,-12.4745195483864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20473.085246572,25315.5999943789,30352.9785383891,44756.2210215192,33865.5829725084,46645.074861423,49077.999746463,66625.6941318924,47024.7921775677,57605.6236899031,95178.6036830163,95062.6095156597,66371.3982138592,102843.181336292,79132.8736042856,55273.7612042557,206130.403227264,72922.3899361273,59174.3538426364,57117.5520214762,56526.1522474723,75400.0145233988,89222.2884145365,70338.9792478208
"2024-08-15",1.79513059003086,-5.1875633133073,17.3312239983066,-9.1634238694851,-4.22018967763403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36247.7049070493,19457.3759598854,27738.9306513799,30413.0719162498,34885.751895782,43492.0374161614,68393.0593622984,51467.9981640387,54672.1401206022,52231.8445136334,119911.896074466,100847.037035293,68308.4149151056,76237.6630829135,101243.213071402,46191.7435165259,72922.3899361273,199118.327300792,49691.2422270596,64768.0648000296,78993.6162476056,78575.083010062,95894.9471380015,50270.5217345015
"2024-08-16",-17.1754038346042,-2.57999189735463,15.0934330474795,-9.00670041349603,10.921162131797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14993.2513547952,16390.9792051154,25452.658748958,24790.8679469938,33047.0035468304,36804.3845738213,53459.321132496,43361.4701913194,39305.5118598361,44967.5046034304,56472.9340549346,82813.1305838792,49568.3144425054,65473.5370933288,60556.430848669,54044.6805989539,59174.3538426364,49691.2422270596,146351.715185001,49058.821579776,42891.8310469057,43031.9998124016,51537.1329770279,41194.7514178404
"2024-08-17",7.9449173055815,-1.85769801539981,-3.3647787462371,25.7184891891813,-8.59597799448786,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11401.4180008388,14659.0197234244,20303.6742487674,33656.4625149575,31966.8385124158,45671.1458721891,44292.1734856633,38913.5464929629,45850.5676337493,63124.1945043162,64228.3324998487,67883.3870198114,58832.6309577,65477.326892645,78378.1955228758,55890.5727087308,57117.5520214762,64768.0648000296,49058.821579776,189448.070838957,54558.9308727633,57057.1110364501,70442.19985372,42876.4820108175
