Day,Shift,Period 1,2,3,4,5,6,7,8,Sydij,Sydi,mdi,md,Mdi,Md,hdi,hd,Hd,Ydi=Mdi/mdi*Sydij,Yd(avg)=SYdi/hd,N^d=Yd(avg)*Hd,,,,(ydij - ydij-1)2,,,,S(RDS)2,s22di,(Ydi - Yd (avg))2,s21d,f1d,(1-f1d)Hd2s1d2/hd,f2di,Mdi2(1-f2di)s2di2/mdi,var(Nd),se,cv
3-Aug,1,,,,,,,,,0,,0,,24,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,,,,0,0,,,
3-Aug,2,,,,,,,,,0,,0,,24,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,,,,0,0,,,
3-Aug,3,,,,,,,,,0,0,0,0,24,72,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A,N/A
4-Aug,1,,,,,,,,,0,,0,,24,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,,,,0,0,,,
4-Aug,2,,,,,,,,,0,,0,,24,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,,,,0,0,,,
4-Aug,3,,,,,,,,,0,0,0,0,24,72,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A,N/A
5-Aug,1,,,,,,,,,0,,0,,24,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,,,,0,0,,,
5-Aug,2,,,,,,,,,0,,0,,24,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,,,,0,0,,,
5-Aug,3,,,,,,,,,0,0,0,0,24,72,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A,N/A
6-Aug,1,,,,,,,,,0,,0,,24,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,,,,0,0,,,
6-Aug,2,,,,,,,,,0,,0,,24,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,,,,0,0,,,
6-Aug,3,,,,,,,,,0,0,0,0,24,72,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A,N/A
7-Aug,1,,,,,,,,,0,,0,,24,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,,,,0,0,,,
7-Aug,2,,,,,,,,,0,,0,,24,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,,,,0,0,,,
7-Aug,3,,,,,,,,,0,0,0,0,24,72,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A,N/A
8-Aug,1,,,,,,,,,0,,0,,24,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,,,,0,0,,,
8-Aug,2,,,,,,,,,0,,0,,24,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,,,,0,0,,,
8-Aug,3,,,,,,,,,0,0,0,0,24,72,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A,N/A
9-Aug,1,,,,,,,,,0,,0,,24,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,,,,0,0,,,
9-Aug,2,,,,,,,,,0,,0,,24,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,,,,0,0,,,
9-Aug,3,,,,,,,,,0,0,0,0,24,72,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A,N/A
10-Aug,1,,,,,,,,,0,,0,,24,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,,,,0,0,,,
10-Aug,2,,,,,,,,,0,,0,,24,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,,,,0,0,,,
10-Aug,3,,,,,,,,,0,0,0,0,24,72,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A,N/A
11-Aug,1,,,,,,,,,0,,0,,24,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,,,,0,0,,,
11-Aug,2,,,,,,,,,0,,0,,24,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,,,,0,0,,,
11-Aug,3,,,,,,,,,0,0,0,0,24,72,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A,N/A
12-Aug,1,,,,,,,,,0,,0,,24,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,,,,0,0,,,
12-Aug,2,,,,,,,,,0,,0,,24,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,,,,0,0,,,
12-Aug,3,,,,,,,,,0,0,0,0,24,72,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A,N/A
13-Aug,1,,,,,,,,,0,,0,,24,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,,,,0,0,,,
13-Aug,2,,,,,,,,,0,,0,,24,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,,,,0,0,,,
13-Aug,3,,,,,,,,,0,0,0,0,24,72,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A,N/A
14-Aug,1,,,,,,,,,0,,0,,24,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,,,,0,0,,,
14-Aug,2,,,,,,,,,0,,0,,24,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,,,,0,0,,,
14-Aug,3,,,,,,,,,0,0,0,0,24,72,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A,N/A
15-Aug,1,,,,,,,,,0,,0,,24,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,,,,0,0,,,
15-Aug,2,,,,,,,,,0,,0,,24,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,,,,0,0,,,
15-Aug,3,,,,,,,,,0,0,0,0,24,72,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A,N/A
16-Aug,1,,,,,,,,,0,,0,,24,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,,,,0,0,,,
16-Aug,2,,,,,,,,,0,,0,,24,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,,,,0,0,,,
16-Aug,3,,,,,,,,,0,0,0,0,24,72,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A,N/A
17-Aug,1,,,,,,,,,0,,0,,24,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,,,,0,0,,,
17-Aug,2,,,,,,,,,0,,0,,24,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,,,,0,0,,,
17-Aug,3,,,,,,,,,0,0,0,0,24,72,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A,N/A
18-Aug,1,,,,,,,,,0,,0,,24,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,,,,0,0,,,
18-Aug,2,,,,,,,,,0,,0,,24,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,,,,0,0,,,
18-Aug,3,,,,,,,,,0,0,0,0,24,72,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A,N/A
19-Aug,1,,,,,,,,,0,,0,,24,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,,,,0,0,,,
19-Aug,2,,,,,,,,,0,,0,,24,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,,,,0,0,,,
19-Aug,3,,,,,,,,,0,0,0,0,24,72,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A,N/A
20-Aug,1,,,,,,,,,0,,0,,24,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,,,,0,0,,,
20-Aug,2,,,,,,,,,0,,0,,24,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,,,,0,0,,,
20-Aug,3,,,,,,,,,0,0,0,0,24,72,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A,N/A
21-Aug,1,,,,,,,,,0,,0,,24,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,,,,0,0,,,
